result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/tree_clean.http
PASS	sig_tickfn	runtime signature present in the shipped tracked source: autoSaveTick was extracted as a testable, stop-prioritised step	0	0	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/sig_tickfn.http
PASS	sig_tickfn	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/sig_tickfn.http
PASS	guard_selectprio	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/guard_selectprio.http
PASS	guard_selectprio	guard TestAutoSaveTick_StopAlwaysWinsOverPendingTick genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAutoSaveTick_StopAlwaysWinsOverPendingTick	present	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/guard_selectprio.http
PASS	guard_selectprio	race detector reported no data race	absent	absent	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/guard_selectprio.http
PASS	guard_selectprio	the -run filter matched at least one test	absent	absent	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/guard_selectprio.http
PASS	suite_persistence	full package suite exits 0 under -race	0	0	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/suite_persistence.http
PASS	suite_persistence	race detector reported no data race across the package	absent	absent	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/suite_persistence.http
PASS	suite_persistence	no test in the package failed	absent	absent	docs/qa/racefix_persist_selectprio_dd3c0c3b_20260728T210415Z/transcripts/suite_persistence.http
