result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/tree_clean.http
PASS	sig_memfreed	runtime signature present in the shipped tracked source: the subtraction now happens in float64, so a growth cannot wrap	0	0	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/sig_memfreed.http
PASS	sig_memfreed	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/sig_memfreed.http
PASS	guard_underflow	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	guard TestMemFreedMB_NoUint64Underflow genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestMemFreedMB_NoUint64Underflow	present	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	guard TestMemFreedMB_ShrinkYieldsPositive genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestMemFreedMB_ShrinkYieldsPositive	present	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	guard TestMemFreedMB_NoChange genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestMemFreedMB_NoChange	present	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	guard TestMemFreedMB_FormattingHandlesNegativeDelta genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestMemFreedMB_FormattingHandlesNegativeDelta	present	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	race detector reported no data race	absent	absent	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	guard_underflow	the -run filter matched at least one test	absent	absent	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/guard_underflow.http
PASS	suite_aurora	full package suite exits 0 under -race	0	0	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/suite_aurora.http
PASS	suite_aurora	race detector reported no data race across the package	absent	absent	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/suite_aurora.http
PASS	suite_aurora	no test in the package failed	absent	absent	docs/qa/racefix_aurora_underflow_640db264_20260728T210456Z/transcripts/suite_aurora.http
