result	case_id	assertion	expected	observed	evidence
PASS	live_openai_route_registered	status == 401	401	401	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_openai_route_registered.http
PASS	live_openai_route_registered	body excludes 'page not found'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_openai_route_registered.http
PASS	live_anthropic_route_registered	status == 401	401	401	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_anthropic_route_registered.http
PASS	live_anthropic_route_registered	body excludes 'page not found'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_anthropic_route_registered.http
PASS	live_unregistered_control	status == 404	404	404	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_unregistered_control.http
PASS	live_unregistered_control	body contains 'page not found'	page not found	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/live_unregistered_control.http
PASS	eph_openai_shape	status == 200	200	200	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body contains '"object":"chat.completion"'	"object":"chat.completion"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body contains '"choices"'	"choices"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body contains '"finish_reason"'	"finish_reason"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body contains '"prompt_tokens"'	"prompt_tokens"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body contains '"completion_tokens"'	"completion_tokens"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body excludes '"stop_reason"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body excludes '"input_tokens"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body excludes '"output_tokens"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_openai_shape	body excludes '"type":"message"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_openai_shape.http
PASS	eph_anthropic_shape	status == 200	200	200	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"type":"message"'	"type":"message"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"content"'	"content"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"type":"text"'	"type":"text"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"stop_reason"'	"stop_reason"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"input_tokens"'	"input_tokens"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body contains '"output_tokens"'	"output_tokens"	present	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body excludes '"choices"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body excludes '"finish_reason"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body excludes '"prompt_tokens"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
PASS	eph_anthropic_shape	body excludes '"object":"chat.completion"'	absent	absent	docs/qa/feat_wirefacade_51c058b1_20260728T104106Z/transcripts/eph_anthropic_shape.http
