result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/tree_clean.http
PASS	sig_nilguard	runtime signature present in the shipped tracked source: the API refresh path degrades to local data instead of dereferencing a nil client	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/sig_nilguard.http
PASS	sig_nilguard	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/sig_nilguard.http
PASS	guard_aurora	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/guard_aurora.http
PASS	guard_aurora	guard TestAuroraApp_UpdateLoopTick_StopAlwaysWinsOverPendingTick genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraApp_UpdateLoopTick_StopAlwaysWinsOverPendingTick	present	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/guard_aurora.http
PASS	guard_aurora	race detector reported no data race	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/guard_aurora.http
PASS	guard_aurora	the -run filter matched at least one test	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/guard_aurora.http
PASS	suite_harmony	full package suite exits 0 under -race	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_harmony.http
PASS	suite_harmony	race detector reported no data race across the package	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_harmony.http
PASS	suite_harmony	no test in the package failed	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_harmony.http
PASS	suite_aurora	full package suite exits 0 under -race	0	0	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_aurora.http
PASS	suite_aurora	race detector reported no data race across the package	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_aurora.http
PASS	suite_aurora	no test in the package failed	absent	absent	docs/qa/racefix_harmony_panic_99ff7d8e_20260728T210521Z/transcripts/suite_aurora.http
