result	case_id	assertion	expected	observed	evidence
PASS	host_missing_gl_pc	gl.pc is genuinely absent from this host's pkg-config search path	not 0	1	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_missing_gl_pc.http
PASS	host_missing_xlib_header	X11/Xlib.h is genuinely absent from this host	not 0	1	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_missing_xlib_header.http
PASS	gui_build_fails	the default GUI build genuinely fails on this host — not a hypothetical	not 0	1	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/gui_build_fails.http
PASS	gui_build_fails	failure is in the exact go-gl/gl package the README names	github.com/go-gl/gl/v2.1/gl	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/gui_build_fails.http
PASS	gui_build_fails	pkg-config error text is byte-identical to what the README quotes	Package gl was not found in the pkg-config search path	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/gui_build_fails.http
PASS	gui_build_fails	failure also reaches the exact go-gl/glfw package the README names	github.com/go-gl/glfw/v3.3/glfw	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/gui_build_fails.http
PASS	gui_build_fails	CGO compile error text is byte-identical to what the README quotes	fatal error: X11/Xlib.h: No such file or directory	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/gui_build_fails.http
PASS	nogui_build_succeeds	the documented -tags nogui workaround genuinely compiles on this same host	0	0	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/nogui_build_succeeds.http
PASS	nogui_build_succeeds_artifact	the -tags nogui build produced a real, non-empty binary — not just an rc==0 with no output	non-empty file	113182904 bytes	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/nogui_build_succeeds_artifact.http
PASS	host_os_release	this host's OS release matches the commit's cited host exactly	PRETTY_NAME="ALT Workstation 11.1 (Prometheus)"	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_os_release.http
PASS	host_kernel	this host's kernel matches the commit's cited kernel exactly	6.12.41-6.12-alt1	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_kernel.http
PASS	host_gcc_version	this host's gcc matches the commit's cited compiler exactly	x86_64-alt-linux-gcc (GCC) 15.2.1	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_gcc_version.http
PASS	host_pkgconfig_version	this host's pkg-config matches the commit's cited version exactly	0.29.2	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/host_pkgconfig_version.http
PASS	committed_readme_unconfirmed_flag	the README is readable at this commit	0	0	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/committed_readme_unconfirmed_flag.http
PASS	committed_readme_unconfirmed_flag	the commit's own honest-boundary flag is present in what was committed	**Honest boundary (UNCONFIRMED, §11.4.6):**	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/committed_readme_unconfirmed_flag.http
PASS	committed_readme_unconfirmed_flag	the commit is explicit that .pc-filename confirmation was NOT performed — and this QA run does not perform it either (no package installation was run in this capture; see EVIDENCE.md scope note)	not** independently confirmed by actually installing the packages	present	docs/qa/docfix_fyne_prereqs_d6c05f76_20260728T121122Z/transcripts/committed_readme_unconfirmed_flag.http
