result	case_id	assertion	expected	observed	evidence
PASS	cohere_v1_red	status != 200	not 200	404	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v1_red.http
PASS	cohere_v1_red	body contains 'command-r-plus'	command-r-plus	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v1_red.http
PASS	cohere_v2_generate	status == 200	200	200	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_generate.http
PASS	cohere_v2_generate	body contains 'qanonce-co-b36c0a4e89bd'	qanonce-co-b36c0a4e89bd	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_generate.http
PASS	cohere_v2_generate	body contains '"message":{"role":"assistant"'	"message":{"role":"assistant"	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_generate.http
PASS	cohere_v2_generate	body contains '"type":"text"'	"type":"text"	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_generate.http
PASS	cohere_v2_generate	body contains '"finish_reason"'	"finish_reason"	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_generate.http
PASS	cohere_v1_isolation_newmodel	status == 200	200	200	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v1_isolation_newmodel.http
PASS	cohere_v2_isolation_oldmodel	status != 200	not 200	404	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_isolation_oldmodel.http
PASS	cohere_v2_isolation_oldmodel	body contains 'command-r-plus'	command-r-plus	present	docs/qa/feat_cohere_v2migrate_67c9a9bc_20260728T120737Z/transcripts/cohere_v2_isolation_oldmodel.http
