result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/tree_clean.http
PASS	sig_accessor	runtime signature present in the shipped tracked source: the monitoring flag is reached only through mutex-guarded accessors	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_accessor.http
PASS	sig_accessor	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_accessor.http
PASS	sig_monitordone	runtime signature present in the shipped tracked source: the monitor publishes a done channel the teardown joins	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_monitordone.http
PASS	sig_monitordone	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_monitordone.http
PASS	sig_tickorstop	runtime signature present in the shipped tracked source: the loop stops on the app's stop channel via the shared primitive	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_tickorstop.http
PASS	sig_tickorstop	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/sig_tickorstop.http
PASS	guard_cleanup	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/guard_cleanup.http
PASS	guard_cleanup	guard TestCleanup genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestCleanup	present	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/guard_cleanup.http
PASS	guard_cleanup	race detector reported no data race	absent	absent	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/guard_cleanup.http
PASS	guard_cleanup	the -run filter matched at least one test	absent	absent	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/guard_cleanup.http
PASS	suite_harmony	full package suite exits 0 under -race	0	0	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/suite_harmony.http
PASS	suite_harmony	race detector reported no data race across the package	absent	absent	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/suite_harmony.http
PASS	suite_harmony	no test in the package failed	absent	absent	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/suite_harmony.http
SKIP	metric_race_runtime	runtime exercise of the SECOND half of this commit — the five system-metric fields (cpu/mem/gpu/temperature/power) now guarded by a mutex between updateSystemMetrics and createHarmonySystemTab	n/a	hardware_not_present-class gap in the test tree, not in the fix: NO test in applications/harmony_os constructs the system tab, so the reader side never runs and the race detector never observes that pair. The commit says so itself. Certified here by inspection + the accessor signatures only; a runtime proof needs a test that builds the tab, which does not exist yet.	docs/qa/racefix_harmony_monitor_ccce0b77_20260728T210559Z/transcripts/metric_race_runtime.http
