result	case_id	assertion	expected	observed	evidence
PASS	prod_var_never_reassigned	zero matches: no production (non-test) code path anywhere in internal/cognee ever reassigns these vars — grep found nothing to reassign, so it correctly exits non-zero	not 0	1	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_var_never_reassigned.http
PASS	prod_var_never_reassigned	the one production file that changed does not itself contain a reassignment — only the var declarations (checked next), which is not a reassignment	absent	absent	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_var_never_reassigned.http
PASS	prod_defaults_unchanged	the three var declarations are present and readable	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_defaults_unchanged.http
PASS	prod_defaults_unchanged	nvidia default is unchanged at 2s (matches the const value before this commit)	var nvidiaSmiQueryTimeout = 2 * time.Second	present	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_defaults_unchanged.http
PASS	prod_defaults_unchanged	apple ioreg default is unchanged at 2s	var appleIoregQueryTimeout = 2 * time.Second	present	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_defaults_unchanged.http
PASS	prod_defaults_unchanged	intel default is unchanged at 3s	var intelGPUTopQueryTimeout = 3 * time.Second	present	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/prod_defaults_unchanged.http
PASS	full_package_count5	the full package passes cleanly across 5 repeated runs in a single invocation	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_count5.http
PASS	full_package_count5	no run in the 5x repetition reports a failure	absent	absent	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_count5.http
PASS	full_package_independent_run_1	independent process invocation #1 passes	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_independent_run_1.http
PASS	full_package_independent_run_2	independent process invocation #2 passes	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_independent_run_2.http
PASS	full_package_independent_run_3	independent process invocation #3 passes	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_independent_run_3.http
PASS	stress_concurrent_alone_repeated	TestClientHTTP_Stress_ConcurrentRequests, run alone and repeated 5x, passes every time — the commit's own '12/15 fail even alone' pre-fix failure mode does not reproduce	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/stress_concurrent_alone_repeated.http
PASS	stress_concurrent_alone_repeated	zero failures across the repeated stress-test-alone runs	absent	absent	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/stress_concurrent_alone_repeated.http
PASS	gpu_probe_chain_repeated	all TestGetGPUUsage_ProbeChain_* variants pass across 5 repeated runs	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/gpu_probe_chain_repeated.http
PASS	gpu_probe_chain_repeated	zero failures across the repeated GPU probe-chain runs	absent	absent	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/gpu_probe_chain_repeated.http
PASS	full_package_race	-race is clean across the full package	0	0	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_race.http
PASS	full_package_race	no data race detected	absent	absent	docs/qa/testfix_cognee_determinism_b058c7c2_20260728T121411Z/transcripts/full_package_race.http
