result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/tree_clean.http
PASS	sig_aurora_tick	runtime signature present in the shipped tracked source: aurora's update loop step is extracted and stop-prioritised	0	0	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/sig_aurora_tick.http
PASS	sig_aurora_tick	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/sig_aurora_tick.http
PASS	sig_updatedone	runtime signature present in the shipped tracked source: the update goroutine publishes a done channel the teardown can join	0	0	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/sig_updatedone.http
PASS	sig_updatedone	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/sig_updatedone.http
PASS	guard_aurora	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/guard_aurora.http
PASS	guard_aurora	guard TestAuroraApp_UpdateLoopTick_StopAlwaysWinsOverPendingTick genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraApp_UpdateLoopTick_StopAlwaysWinsOverPendingTick	present	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/guard_aurora.http
PASS	guard_aurora	guard TestAuroraApp_UpdateLoopTick_ResidualWindowStopRaceDuringBlockingSelect genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraApp_UpdateLoopTick_ResidualWindowStopRaceDuringBlockingSelect	present	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/guard_aurora.http
PASS	guard_aurora	guard TestAuroraApp_Close_JoinsUpdateLoopBeforeReturning genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraApp_Close_JoinsUpdateLoopBeforeReturning	present	docs/qa/racefix_select4_3c8197cf_20260728T210818Z/transcripts/guard_aurora.http
