result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/tree_clean.http
PASS	sig_racehook	runtime signature present in the shipped tracked source: the residual-window race hook seam exists in the shipped store	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/sig_racehook.http
PASS	sig_racehook	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/sig_racehook.http
PASS	sig_servedmodel	runtime signature present in the shipped tracked source: the server reports the model that ACTUALLY served the request	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/sig_servedmodel.http
PASS	sig_servedmodel	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/sig_servedmodel.http
PASS	guard_residual	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_residual.http
PASS	guard_residual	guard TestAutoSaveTick_ResidualWindowStopRaceDuringBlockingSelect genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAutoSaveTick_ResidualWindowStopRaceDuringBlockingSelect	present	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_residual.http
PASS	guard_residual	race detector reported no data race	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_residual.http
PASS	guard_residual	the -run filter matched at least one test	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_residual.http
PASS	guard_servedmodel	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_servedmodel.http
PASS	guard_servedmodel	guard TestGenerateLLM_ResponseModel_ServedNotRequested genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestGenerateLLM_ResponseModel_ServedNotRequested	present	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_servedmodel.http
PASS	guard_servedmodel	guard TestGenerateLLM_ResponseModel_FallsBackWhenProviderOmitsIt genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestGenerateLLM_ResponseModel_FallsBackWhenProviderOmitsIt	present	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_servedmodel.http
PASS	guard_servedmodel	race detector reported no data race	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_servedmodel.http
PASS	guard_servedmodel	the -run filter matched at least one test	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/guard_servedmodel.http
PASS	suite_persistence	full package suite exits 0 under -race	0	0	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/suite_persistence.http
PASS	suite_persistence	race detector reported no data race across the package	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/suite_persistence.http
PASS	suite_persistence	no test in the package failed	absent	absent	docs/qa/racefix_fable3_ed0cdcb8_20260728T210426Z/transcripts/suite_persistence.http
