result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/tree_clean.http
PASS	sig_clock	runtime signature present in the shipped tracked source: the cache reads time through an injectable clock with a time.Now fallback	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/sig_clock.http
PASS	sig_clock	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/sig_clock.http
PASS	sig_clockuse	runtime signature present in the shipped tracked source: the TTL comparison itself goes through that clock	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/sig_clockuse.http
PASS	sig_clockuse	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/sig_clockuse.http
PASS	absent_sleep	no NON-COMMENT occurrence survives: no executable time.Sleep survives in the cache tests	not 0	1	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/absent_sleep.http
PASS	absent_sleep	no file:line hit line survived the comment filter	absent	absent	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/absent_sleep.http
PASS	guard_boundary	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	guard_boundary	guard TestCache_GetModels_Hit genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestCache_GetModels_Hit	present	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	guard_boundary	guard TestCache_GetModelsStale_SlightlyExpired genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestCache_GetModelsStale_SlightlyExpired	present	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	guard_boundary	guard TestStress_Cache_Boundary genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestStress_Cache_Boundary	present	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	guard_boundary	race detector reported no data race	absent	absent	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	guard_boundary	the -run filter matched at least one test	absent	absent	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/guard_boundary.http
PASS	suite_verifier	full package suite exits 0 under -race	0	0	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/suite_verifier.http
PASS	suite_verifier	race detector reported no data race across the package	absent	absent	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/suite_verifier.http
PASS	suite_verifier	no test in the package failed	absent	absent	docs/qa/racefix_verifier_clock_048ca700_20260728T210445Z/transcripts/suite_verifier.http
