result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/tree_clean.http
PASS	sig_pipes	runtime signature present in the shipped tracked source: parent-owned os.Pipe files replace StdoutPipe/StderrPipe, which Cmd.Wait closes	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/sig_pipes.http
PASS	sig_pipes	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/sig_pipes.http
PASS	sig_scannererr	runtime signature present in the shipped tracked source: the scanner's read error is recorded instead of being read as clean EOF	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/sig_scannererr.http
PASS	sig_scannererr	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/sig_scannererr.http
PASS	guard_pipes	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	guard_pipes	guard TestStreamPipesSurviveCmdWait genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestStreamPipesSurviveCmdWait	present	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	guard_pipes	guard TestOutputStreamerSurfacesReadError genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestOutputStreamerSurfacesReadError	present	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	guard_pipes	guard TestExecuteStreamDeliversAllOutputBeforeDone genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamDeliversAllOutputBeforeDone	present	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	guard_pipes	race detector reported no data race	absent	absent	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	guard_pipes	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/guard_pipes.http
PASS	suite_shell	full package suite exits 0 under -race	0	0	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/suite_shell.http
PASS	suite_shell	race detector reported no data race across the package	absent	absent	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/suite_shell.http
PASS	suite_shell	no test in the package failed	absent	absent	docs/qa/racefix_shell_pipes_fa9f0247_20260728T210438Z/transcripts/suite_shell.http
