result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/tree_clean.http
PASS	sig_aurora_dispatch	runtime signature present in the shipped tracked source: aurora dispatches label updates onto the UI thread	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_aurora_dispatch.http
PASS	sig_aurora_dispatch	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_aurora_dispatch.http
PASS	sig_aurora_tickorstop	runtime signature present in the shipped tracked source: aurora's ticker loops honour the app's stop channel	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_aurora_tickorstop.http
PASS	sig_aurora_tickorstop	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_aurora_tickorstop.http
PASS	sig_harmony_import	runtime signature present in the shipped tracked source: harmony imports the shared UI-thread package	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_harmony_import.http
PASS	sig_harmony_import	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/sig_harmony_import.http
PASS	suite_harmony	full package suite exits 0 under -race	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_harmony.http
PASS	suite_harmony	race detector reported no data race across the package	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_harmony.http
PASS	suite_harmony	no test in the package failed	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_harmony.http
PASS	suite_aurora	full package suite exits 0 under -race	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_aurora.http
PASS	suite_aurora	race detector reported no data race across the package	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_aurora.http
PASS	suite_aurora	no test in the package failed	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/suite_aurora.http
PASS	dispatch_runtime_aurora	guard tests exit 0 under -race	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_aurora.http
PASS	dispatch_runtime_aurora	guard TestAuroraLLMTab_BackgroundWidgetMutationsAreUIThreadSafe genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraLLMTab_BackgroundWidgetMutationsAreUIThreadSafe	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_aurora.http
PASS	dispatch_runtime_aurora	guard TestAuroraDashboardTab_TickerWidgetMutationsAreUIThreadSafe genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestAuroraDashboardTab_TickerWidgetMutationsAreUIThreadSafe	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_aurora.http
PASS	dispatch_runtime_aurora	race detector reported no data race	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_aurora.http
PASS	dispatch_runtime_harmony	guard tests exit 0 under -race	0	0	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_harmony.http
PASS	dispatch_runtime_harmony	guard TestHarmonyLLMTab_BackgroundWidgetMutationsAreUIThreadSafe genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestHarmonyLLMTab_BackgroundWidgetMutationsAreUIThreadSafe	present	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_harmony.http
PASS	dispatch_runtime_harmony	race detector reported no data race	absent	absent	docs/qa/racefix_fyneui_route_0a4df699_20260728T210614Z/transcripts/dispatch_runtime_harmony.http
