result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/tree_clean.http
PASS	sig_bound	runtime signature present in the shipped tracked source: the drain loop states the REAL abandoned-consumer bound (~(headroom+1) x grace), not the two-window claim it replaced	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_bound.http
PASS	sig_bound	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_bound.http
PASS	sig_contract	runtime signature present in the shipped tracked source: StreamingExecution names abandoning-without-Cancel as the pattern to avoid	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_contract.http
PASS	sig_contract	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_contract.http
PASS	sig_progressdoc	runtime signature present in the shipped tracked source: Progress() no longer claims to prove a consumer exists	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_progressdoc.http
PASS	sig_progressdoc	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/sig_progressdoc.http
PASS	guard_bounded	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_bounded.http
PASS	guard_bounded	guard TestExecuteStreamAbandonedConsumerStaysBoundedWhileProducerTrickles genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamAbandonedConsumerStaysBoundedWhileProducerTrickles	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_bounded.http
PASS	guard_bounded	race detector reported no data race	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_bounded.http
PASS	guard_bounded	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_bounded.http
PASS	guard_m2	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m2.http
PASS	guard_m2	guard TestOutputStreamerErrPrefersGenuineFailureOverTeardown genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestOutputStreamerErrPrefersGenuineFailureOverTeardown	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m2.http
PASS	guard_m2	guard TestExecuteStreamSurfacesStderrFailureDespiteStdoutTeardown genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamSurfacesStderrFailureDespiteStdoutTeardown	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m2.http
PASS	guard_m2	race detector reported no data race	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m2.http
PASS	guard_m2	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m2.http
PASS	guard_m3	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m3.http
PASS	guard_m3	guard TestExecuteStreamCancelMidStreamMarksOutputIncomplete genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamCancelMidStreamMarksOutputIncomplete	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m3.http
PASS	guard_m3	guard TestExecuteStreamCancelAfterCleanEOFKeepsOutputComplete genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamCancelAfterCleanEOFKeepsOutputComplete	present	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m3.http
PASS	guard_m3	race detector reported no data race	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m3.http
PASS	guard_m3	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/guard_m3.http
PASS	suite_shell	full package suite exits 0 under -race	0	0	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/suite_shell.http
PASS	suite_shell	race detector reported no data race across the package	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/suite_shell.http
PASS	suite_shell	no test in the package failed	absent	absent	docs/qa/racefix_shell_bounds_0c2f4940_20260728T232950Z/transcripts/suite_shell.http
