result	case_id	assertion	expected	observed	evidence
PASS	live_evil_origin_get	status == 200	200	200	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_evil_origin_get.http
PASS	live_evil_origin_get	response header 'Access-Control-Allow-Origin' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_evil_origin_get.http
PASS	live_evil_origin_get	response header 'Access-Control-Allow-Credentials' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_evil_origin_get.http
PASS	live_evil_origin_preflight	response header 'Access-Control-Allow-Origin' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_evil_origin_preflight.http
PASS	live_evil_origin_preflight	response header 'Access-Control-Allow-Credentials' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_evil_origin_preflight.http
PASS	live_lookalike_origin	response header 'Access-Control-Allow-Origin' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_lookalike_origin.http
PASS	live_lookalike_origin	response header 'Access-Control-Allow-Credentials' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_lookalike_origin.http
PASS	live_no_origin	status == 200	200	200	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_no_origin.http
PASS	live_no_origin	response header 'Access-Control-Allow-Origin' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/live_no_origin.http
PASS	eph_allowed_origin	status == 200	200	200	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_allowed_origin.http
PASS	eph_allowed_origin	header Access-Control-Allow-Origin == https://app.allowed.example	https://app.allowed.example	https://app.allowed.example	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_allowed_origin.http
PASS	eph_allowed_origin	header Vary present containing 'Origin'	present	Origin;	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_allowed_origin.http
PASS	eph_allowed_origin	header Access-Control-Allow-Credentials == true	true	true	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_allowed_origin.http
PASS	eph_allowed_origin_2	header Access-Control-Allow-Origin == https://admin.allowed.example	https://admin.allowed.example	https://admin.allowed.example	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_allowed_origin_2.http
PASS	eph_evil_origin	response header 'Access-Control-Allow-Origin' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_evil_origin.http
PASS	eph_evil_origin	response header 'Access-Control-Allow-Credentials' absent	absent	absent	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/eph_evil_origin.http
PASS	ALL-CASES	NOT (ACAO:* AND ACAC present) across every captured response	no wildcard+credentials	invariant held on 7 captured responses	docs/qa/sec_cors_4727a9d0_20260728T102102Z/transcripts/ALL-CASES.http
