result	case_id	assertion	expected	observed	evidence
PASS	host_context	host context captured as a recorded fact (not a pass/fail criterion)	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/host_context.http
PASS	tree_clean	no uncommitted local edit to the files under test (§11.4.108: tested source == shipped source)	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/tree_clean.http
PASS	sig_progress	runtime signature present in the shipped tracked source: OutputStreamer exposes a monotonic Progress() counter — the signal the drain loop rearms on	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_progress.http
PASS	sig_progress	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_progress.http
PASS	sig_rearm	runtime signature present in the shipped tracked source: the drain deadline is REARMED while lines are still moving (the window is no longer a total budget)	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_rearm.http
PASS	sig_rearm	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_rearm.http
PASS	sig_flagderived	runtime signature present in the shipped tracked source: OutputIncomplete is DERIVED from what the scanners observed, not from which select branch won (M1/M3)	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_flagderived.http
PASS	sig_flagderived	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_flagderived.http
PASS	sig_errpriority	runtime signature present in the shipped tracked source: Err() prefers a genuine failure over the ErrStreamStopped teardown sentinel (M2)	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_errpriority.http
PASS	sig_errpriority	a real file:line hit line was printed — the match is in a tracked file, not just in the command echo	.go:	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/sig_errpriority.http
PASS	guard_notruncate	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_notruncate.http
PASS	guard_notruncate	guard TestExecuteStreamDoesNotTruncateASlowButDrainingConsumer genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamDoesNotTruncateASlowButDrainingConsumer	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_notruncate.http
PASS	guard_notruncate	race detector reported no data race	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_notruncate.http
PASS	guard_notruncate	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_notruncate.http
PASS	guard_hxc184	guard tests exit 0 under -race -count=2	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	guard_hxc184	guard TestExecuteStreamReturnsWhenGrandchildHoldsPipes genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamReturnsWhenGrandchildHoldsPipes	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	guard_hxc184	guard TestExecuteStreamHangDoesNotWedgeTheExecutor genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamHangDoesNotWedgeTheExecutor	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	guard_hxc184	guard TestExecuteStreamDoneBeforeDrainIsBoundedNotDeadlocked genuinely RAN and passed (not an empty -run filter exiting 0)	--- PASS: TestExecuteStreamDoneBeforeDrainIsBoundedNotDeadlocked	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	guard_hxc184	race detector reported no data race	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	guard_hxc184	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/guard_hxc184.http
PASS	red_hxc184	RED_MODE=1 FAILS on the fixed artifact — the guard is falsifiable, not blind (§11.4.115)	not 0	1	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/red_hxc184.http
PASS	red_hxc184	guard TestExecuteStreamReturnsWhenGrandchildHoldsPipes genuinely RAN and reported FAIL under RED_MODE=1 (not a compile error masquerading as a reproduction)	--- FAIL: TestExecuteStreamReturnsWhenGrandchildHoldsPipes	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/red_hxc184.http
PASS	red_hxc184	guard TestExecuteStreamHangDoesNotWedgeTheExecutor genuinely RAN and reported FAIL under RED_MODE=1 (not a compile error masquerading as a reproduction)	--- FAIL: TestExecuteStreamHangDoesNotWedgeTheExecutor	present	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/red_hxc184.http
PASS	red_hxc184	the -run filter matched at least one test	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/red_hxc184.http
PASS	red_hxc184	the non-zero exit came from the guard, not from a build failure	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/red_hxc184.http
PASS	suite_shell	full package suite exits 0 under -race	0	0	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/suite_shell.http
PASS	suite_shell	race detector reported no data race across the package	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/suite_shell.http
PASS	suite_shell	no test in the package failed	absent	absent	docs/qa/racefix_shell_grace_fa1b52b3_20260728T232856Z/transcripts/suite_shell.http
